"","x"
"116",229553.89860968
"117",180633.195062787
"118",139800.822235263
"119",149468.608875824
"120",192212.121578245
"121",154722.284883342
"122",129134.039519259
"123",310168.695691382
"124",219166.743313526
"125",133351.307568463
"126",80585.0386674145
"127",109223.387291818
"128",152141.57156632
"129",102918.022748585
"130",131836.745107372
"131",97509.8683459937
"132",111937.790398946
"133",118622.732633258
"134",147540.512347027
"135",126739.239636597
"136",226820.604712039
"137",191918.055465637
"138",224868.520475288
"139",167650.106304169
"140",163597.028658452
"141",73220.7540782919
"142",121557.408909468
"143",56607.5465227439
"144",279067.267075786
"145",234574.501682272
"146",165815.156324748
"147",164689.940089909
"148",208541.134333237
"149",183218.704270998
"150",156204.840725764
"151",136269.301348018
"152",176074.96110583
"153",176215.683086411
"154",126999.188869673
"155",86784.0606734931
"156",75957.8276856022
"157",89666.3209161405
"158",144691.258388814
"159",140993.351133645
"160",165758.835399061
"161",134317.046607076
"162",149721.516048227
"163",263599.418115433
"164",206270.003899751
"165",117475.222657463
"166",170501.018304039
"167",193600.816476928
"168",265937.143246883
"169",175983.793120727
"170",366621.97248432
"171",227387.208748651
"172",246567.098794676
"173",165531.115019938
"174",179547.547990552
"175",170347.802237166
"176",153276.883480143
"177",207998.270615802
"178",175787.519961236
"179",183635.540169139
"180",236005.375690544
"181",177847.882281989
"182",250266.573203515
"183",220486.952935305
"184",238365.699982077
"185",241128.923568514
"186",155310.362167054
"187",150699.093656293
"188",129059.857415586
"189",144489.072306562
"190",116173.007814602
"191",120454.643909909
"192",99325.1276669486
"193",103198.558884933
"194",137939.202422293
"195",142362.453737029
"196",138927.84508761
"197",145155.639875013
"198",138744.565433143
"199",128216.381821441
"200",154550.452603337
"201",465360.596800008
"202",434986.547685227
"203",392938.085521781
"204",675361.343746275
"205",314661.319599428
"206",309402.827734105
"207",382187.451295312
"208",346680.811038071
"209",307094.784365681
"210",351524.448527579
"211",265833.767647052
"212",507184.908553514
"213",288148.985917977
"214",243113.161762507
"215",201190.02759168
"216",193118.536732376
"217",218756.422619897
"218",506042.498741241
"219",396206.84642397
"220",337626.815462117
"221",254333.055741052
"222",304208.620349112
"223",193991.881844396
"224",174021.342802922
"225",172625.698015617
"226",165260.511286498
"227",170811.775958414
"228",183737.604885444
"229",187714.458391364
"230",190552.650314436
"231",179205.499921503
"232",250999.058480359
"233",167080.74323408
"234",180023.581878044
"235",169008.520895562
"236",277232.255382923
"237",176047.875494459
"238",347631.242475059
"239",311105.890337146
"240",253291.621211438
"241",259760.009904172
"242",243622.928240924
"243",238915.305259324
"244",275664.754989228
"245",224124.221810239
"246",197749.871154581
"247",204267.780892326
"248",202246.364272882
"249",281735.423765284
"250",227676.203379071
"251",269798.926156663
"252",255282.195677103
"253",270332.522682223
"254",225031.351072943
"255",203993.107624325
"256",183438.512247231
"257",173107.611122648
"258",137515.90701527
"259",202982.012198412
"260",230377.827135169
"261",153316.666091169
"262",122186.068029455
"263",152589.281162593
"264",203052.662050569
"265",239468.175168027
"266",184150.463857805
"267",148064.225509692
"268",158857.862625134
"269",170257.937161224
"270",173390.555362257
"271",112997.96751816
"272",130521.470672785
"273",117981.066421091
"274",124117.414857771
"275",111807.013665438
"276",110583.302083697
"277",326727.56813825
"278",249057.428549395
"279",244064.653586462
"280",235554.638627229
"281",192131.235011647
"282",163444.238989845
"283",167791.089751272
"284",367903.366133663
"285",217135.512279618
"286",191816.040696021
"287",222214.212994838
"288",235692.722443144
"289",144858.518823756
"290",122686.635402339
"291",236298.392810176
"292",119771.200096561
"293",146791.038630899
"294",196881.540707615
"295",160499.861763397
"296",132786.21997602
"297",120436.581852137
"298",146861.861235824
"299",167156.766715104
"300",158993.522299623
"301",151863.011740795
"302",184939.556407351
"303",168521.236270738
"304",114447.892255805
"305",137638.419540503
"306",198445.585662909
"307",220550.732110175
"308",141498.050844516
"309",158961.220903454
"310",147578.960626921
"311",116928.738743451
"312",129391.632388325
"313",126711.561752425
"314",145261.087254861
"315",138403.618003696
"316",125979.54258754
"317",105817.853746617
"318",133133.035981912
"319",140545.092847988
"320",159451.289244912
"321",117796.250201984
"322",96673.4234554674
"323",144915.120857043
"324",112396.827628624
"325",115619.281323912
"326",158611.709671332
"327",159141.836933597
"328",73926.5137353029
"329",94724.9400814135
"330",78301.2566891993
"331",184496.427315172
"332",161396.689560229
"333",138331.406296241
"334",151570.604945387
"335",129329.772915557
"336",134898.901161535
"337",116311.937613138
"338",120012.516172273
"339",109969.100292356
"340",124456.701008465
"341",130861.888483088
"342",131976.942069898
"343",146705.154588459
"344",138893.631156933
"345",133844.01005525
"346",125505.519524925
"347",118715.525393092
"348",118501.439565729
"349",120087.618716492
"350",134102.596388796
"351",94852.0866291163
"352",96222.8795643689
"353",130627.497813489
"354",93746.2370199473
"355",60503.6768799254
"356",92761.3645968416
"357",110120.961949836
"358",149378.16120987
"359",132248.663950022
"360",45857.7845090052
"361",119983.149285929
"362",143640.76743983
"363",35494.1991434876
"364",113725.974401078
"365",147324.265562226
"366",113533.798591348
"367",97139.0788634207
"368",138905.68029328
"369",112332.40466316
"370",145638.813103061
"371",135767.120350858
"372",127082.392830046
"373",144469.260887886
"374",122181.707288186
"375",128543.907425512
"376",125032.610952578
"377",88312.5308237134
"378",131289.289701177
"379",114740.558510329
"380",139799.283084734
"381",142984.548669961
"382",89176.1909280263
"383",136879.543371522
"384",138303.136244336
"385",151669.259378304
"386",150484.231385481
"387",168994.898588554
"388",75075.0364017045
"389",103155.423167714
"390",112451.334022062
"391",139256.36548302
"392",117507.006008558
"393",124658.774597947
"394",150893.750340064
"395",142418.915877211
"396",217126.222088404
"397",122587.641368097
"398",150762.745533724
"399",115450.101386456
"400",153831.602273662
"401",115283.948835681
"402",348935.060603683
"403",328119.79887217
"404",328149.225285446
"405",345440.717013949
"406",322584.413476045
"407",223119.053415142
"408",282107.456167909
"409",206053.570847587
"410",215876.962635698
"411",236327.348136671
"412",172143.3207317
"413",248451.591329697
"414",155490.186963338
"415",193240.677717993
"416",201473.476776066
"417",204701.982842511
"418",197303.274980966
"419",132461.567241598
"420",129716.285763764
"421",252132.823989521
"422",245904.303772053
"423",183429.106059635
"424",204247.110571864
"425",212715.906241942
"426",272822.580606767
"427",211256.817945213
"428",268766.0035767
"429",170290.189429811
"430",108226.785223869
"431",110902.217975476
"432",99975.4250973206
"433",128596.876932586
"434",116160.676668044
"435",135676.666093536
"436",122930.234699619
"437",129276.053873649
"438",114451.308593016
"439",148150.381842538
"440",157600.609862231
"441",177983.615540212
"442",160071.418695242
"443",228417.889891647
"444",150040.091285443
"445",196818.438047986
"446",115591.208697646
"447",219943.436165685
"448",113619.972578451
"449",128377.053480956
"450",123478.467569907
"451",226915.148534651
"452",359162.846587603
"453",131161.270221074
"454",52196.8041316861
"455",322796.102754606
"456",69633.609016238
"457",226292.147006073
"458",138188.035028375
"459",163334.612158276
"460",155854.133342885
"461",384904.964414652
"462",314387.517917894
"463",225771.786192981
"464",267600.354481837
"465",186719.832465116
"466",393265.513406978
"467",131353.237978169
"468",158504.732330788
"469",122569.30539136
"470",126106.005489116
"471",144255.993868883
"472",135911.320312544
"473",211572.563263372
"474",185040.807760669
"475",170039.876755643
"476",194471.385748644
"477",182059.578924844
"478",163275.760447938
"479",246222.047387429
"480",195086.909429039
"481",170503.460819013
"482",166889.741426586
"483",220526.212252618
"484",366095.543686966
"485",405734.695313529
"486",149197.971438549
"487",149273.430336541
"488",172249.311486897
"489",240281.471203553
"490",188613.526732678
"491",239129.664846816
"492",210404.113923688
"493",169610.152862568
"494",184803.968145012
"495",140032.951613964
"496",338304.384088101
"497",148312.709085161
"498",273084.233932583
"499",152652.137012783
"500",115493.42563468
"501",128135.013199953
"502",99159.2473788927
"503",108520.026835584
"504",109141.038682912
"505",142498.118638879
"506",145894.157207901
"507",292206.055917009
"508",430079.972552994
"509",391050.837569245
"510",436612.456453737
"511",519842.826461804
"512",397743.555646564
"513",266993.989512941
"514",334806.060756476
"515",333120.712977279
"516",278201.66916901
"517",360162.680336033
"518",351879.26533676
"519",331817.611869246
"520",212748.278219242
"521",368442.507892168
"522",227779.003713791
"523",204925.428140417
"524",174044.645990023
"525",228341.914008196
"526",209799.895058856
"527",189092.567178522
"528",174656.158496639
"529",189782.402752418
"530",205233.753959159
"531",233220.782199961
"532",216538.826397458
"533",171597.099698873
"534",229108.628268021
"535",185270.773772364
"536",263554.1085742
"537",312838.496282215
"538",318977.151945986
"539",256458.301900396
"540",323704.782664795
"541",256612.821340215
"542",230453.747948531
"543",249173.017745256
"544",284849.713489631
"545",214796.9007067
"546",221803.148106022
"547",251921.280867489
"548",228466.185812167
"549",204456.651645361
"550",195148.063609379
"551",134430.467833429
"552",173034.254499381
"553",178585.828818801
"554",181177.321964563
"555",208004.590544647
"556",193663.22088108
"557",192038.509847939
"558",115239.022506936
"559",135509.688342497
"560",100703.914444806
"561",103188.462019134
"562",193341.330558215
"563",146342.001864449
"564",283635.54691536
"565",372434.774197408
"566",174502.892118369
"567",159653.491119852
"568",150117.789922807
"569",175059.877797696
"570",285559.656298154
"571",236800.227957903
"572",263907.573072741
"573",274651.3327302
"574",171682.081567153
"575",233967.492248476
"576",202014.041281279
"577",234112.528255733
"578",325567.346475012
"579",219140.496114806
"580",295296.093819241
"581",305825.427816074
"582",213697.567384698
"583",182330.656851195
"584",168146.472033837
"585",201113.863639502
"586",164741.462939443
"587",145839.050967098
"588",141609.248129723
"589",139290.489299021
"590",163762.674485884
"591",106775.377993983
"592",121074.303218681
"593",145349.894704636
"594",113887.309617308
"595",157735.360405238
"596",139513.552708801
"597",112885.585219175
"598",201416.54388764
"599",135043.250745929
"600",186120.479042336
"601",166516.931626043
"602",129096.922788745
"603",120286.910073686
"604",146238.228928891
"605",95820.5892702711
"606",159764.971511521
"607",94183.3301173571
"608",141636.342769399
"609",91894.3723740711
"610",117547.041258374
"611",102148.039436375
"612",145086.980953347
"613",126802.406056591
"614",123793.273471591
"615",143939.972858354
"616",118184.500481915
"617",158676.898358085
"618",129453.402191414
"619",123765.564950327
"620",119644.208257364
"621",126706.980310044
"622",113728.086605523
"623",145716.878115672
"624",117597.003677956
"625",122706.579744624
"626",106927.467640025
"627",124074.506973011
"628",104375.229796597
"629",82435.5460022409
"630",137182.677689318
"631",113639.537090624
"632",118954.127742557
"633",128100.826636493
"634",99865.7557890573
"635",148710.29062501
"636",83381.4911005759
"637",98937.1497737459
"638",149252.69699566
"639",67352.779767604
"640",137678.352588403
"641",104640.086866259
"642",115052.443484918
"643",107010.323150331
"644",123851.76986395
"645",129503.083636829
"646",171993.195070722
"647",188309.00724291
"648",119576.681295723
"649",114177.747423058
"650",119845.446290863
"651",114857.027857884
"652",141353.601123591
"653",121362.067116057
"654",130807.048782837
"655",163630.847993767
"656",112105.114161659
"657",155929.160554985
"658",121358.465410931
"659",122974.028115368
"660",114587.960132897
"661",99345.2749353761
"662",127861.214445419
"663",79343.9906194201
"664",154058.193213523
"665",125115.641715937
"666",152806.442429696
"667",169512.417756435
"668",126763.716086838
"669",76922.6767017593
"670",137844.993449951
"671",142901.232516489
"672",117159.829611367
"673",115372.052948201
"674",123934.012351781
"675",93570.2903935521
"676",84312.6502670711
"677",104687.927973753
"678",125564.335763906
"679",148089.110453587
"680",138783.575288631
"681",152851.673533599
"682",127667.118347736
"683",153275.589504298
"684",121763.357769549
"685",139502.458230211
"686",158657.870463515
"687",143197.665587643
"688",126074.933672092
"689",133631.248960447
"690",222781.381319205
"691",116573.049769918
"692",162827.545159853
"693",178999.07364721
"694",104522.376387204
"695",127841.679655714
"696",292696.35833104
"697",234252.614203016
"698",236840.749717151
"699",215469.988441879
"700",179276.449154967
"701",238391.116607109
"702",479069.580039228
"703",369908.881401523
"704",249587.690404597
"705",208784.937458541
"706",161336.386292781
"707",217719.173765479
"708",204261.846139472
"709",193778.368351388
"710",213322.036047861
"711",157881.306592248
"712",134045.748261107
"713",173369.535451754
"714",229299.238629569
"715",295050.439791561
"716",314493.843481475
"717",241870.101456713
"718",218437.523031169
"719",131760.588593371
"720",231627.325169525
"721",190759.618743781
"722",216851.684246298
"723",188467.510346615
"724",118092.303858295
"725",122624.337627626
"726",151581.247356189
"727",148514.596679608
"728",145927.193261253
"729",288981.959739305
"730",82402.2629499836
"731",80916.3680700129
"732",91423.0268434239
"733",109487.615655337
"734",107479.246790338
"735",121573.776194067
"736",104422.646325532
"737",117372.265007576
"738",152390.919947887
"739",227071.576285879
"740",151909.886390416
"741",145367.899504186
"742",216821.426991302
"743",142067.970943105
"744",189568.334707823
"745",121733.599369642
"746",146700.468211679
"747",240461.396843831
"748",271011.509727733
"749",263414.993950671
"750",122615.516205019
"751",106493.758849321
"752",122178.366393929
"753",109815.304685594
"754",142231.008568543
"755",101776.842480511
"756",157409.94063177
"757",43417.462685355
"758",76830.6711060058
"759",64974.421509169
"760",63335.7425271134
"761",324871.931235426
"762",297720.390043233
"763",265937.331673212
"764",206677.902566074
"765",123000.987405985
"766",193048.755451619
"767",199617.844412838
"768",258939.926489134
"769",255522.858052393
"770",162620.939266106
"771",211094.403619391
"772",182524.512756346
"773",182918.933403462
"774",237547.561131879
"775",214764.270126354
"776",253045.211547
"777",324690.717301769
"778",196877.681856555
"779",94099.3908250021
"780",150542.711123154
"781",159674.29975681
"782",118586.165268475
"783",116717.775614109
"784",107520.205290332
"785",101320.67721195
"786",130599.977467625
"787",107533.05356499
"788",126216.898564184
"789",123805.965279102
"790",130973.819245812
"791",270150.277222156
"792",180154.729030558
"793",157071.29070085
"794",180378.53892275
"795",184608.474628164
"796",166368.612732918
"797",216438.797280967
"798",154334.679999836
"799",177685.590507682
"800",134887.576905952
"801",195845.426773648
"802",206123.102512265
"803",387521.791087901
"804",613874.93834525
"805",151241.199142662
"806",320497.548342569
"807",377830.534357828
"808",471730.888480877
"809",141374.149886987
"810",187562.12707698
"811",210453.704264595
"812",170483.682309834
"813",153875.673303755
"814",176843.454055252
"815",170577.317241308
"816",187782.265068151
"817",186189.955633564
"818",140999.930255598
"819",126580.609789513
"820",117075.373493996
"821",161632.625126607
"822",174461.295856411
"823",104921.212746673
"824",113956.914236434
"825",150161.222934884
"826",124150.49479921
"827",370238.753292915
"828",281859.891711468
"829",386791.262716907
"830",505743.223252916
"831",312849.842914763
"832",451853.500214219
"833",526389.197053612
"834",429574.79141406
"835",602933.524896575
"836",297677.092956205
"837",343729.895180652
"838",364653.892154431
"839",352059.734480972
"840",334120.287769232
"841",310639.058105542
"842",252343.35875489
"843",237005.644046599
"844",248282.79118095
"845",204042.660358528
"846",200231.693184402
"847",209467.730994094
"848",245649.206005131
"849",289224.006994156
"850",213019.831660178
"851",214899.958007998
"852",173355.898519337
"853",173148.296470714
"854",176455.861465457
"855",179592.30210734
"856",193422.541331025
"857",190213.637015433
"858",184497.910498683
"859",187047.31421443
"860",184918.610241429
"861",237609.466041202
"862",186423.370852402
"863",185105.329081503
"864",176922.107877865
"865",212665.573391222
"866",174014.836442143
"867",203691.79854725
"868",214918.917665592
"869",192189.488981696
"870",185456.890191492
"871",354923.434714051
"872",413221.031599276
"873",308939.698346642
"874",250576.171355528
"875",265994.957027153
"876",317281.517849549
"877",189313.287806112
"878",261147.01230486
"879",203158.847888832
"880",383220.483519418
"881",203161.572407099
"882",229610.811247697
"883",229279.371753484
"884",208586.608523111
"885",226076.012056746
"886",211238.087362098
"887",203286.963775314
"888",242983.695961467
"889",184358.320211185
"890",326488.259705554
"891",265565.108392264
"892",246381.52700961
"893",253225.824719233
"894",150030.408324936
"895",142778.07874232
"896",148301.330126567
"897",190606.014496349
"898",200589.494965277
"899",127613.035028051
"900",118891.659960541
"901",152888.88364279
"902",262333.226625679
"903",126925.825477072
"904",144645.541396887
"905",221628.233822059
"906",199467.122060978
"907",222963.312018454
"908",219158.834683097
"909",233464.740610583
"910",171838.878795445
"911",159198.64055612
"912",195014.358709805
"913",296207.71383516
"914",345606.25206181
"915",248075.114948056
"916",296553.108993135
"917",367188.541987503
"918",153402.728011722
"919",216675.906063515
"920",146520.629122175
"921",178278.448969615
"922",201577.866256352
"923",202194.454289102
"924",237431.153325186
"925",156989.520489416
"926",129899.239678449
"927",126374.292676572
"928",99510.5871370093
"929",115683.359175344
"930",147547.497847815
"931",147390.103650061
"932",116920.55241277
"933",167412.472834745
"934",135105.978787018
"935",215756.206129907
"936",139054.759548893
"937",222365.521978672
"938",134730.880645101
"939",79488.9157274874
"940",78772.3659026304
"941",137920.740168555
"942",134617.898055463
"943",145969.687579107
"944",150142.433838936
"945",158994.437491596
"946",142502.433347963
"947",125034.237428427
"948",135350.671947191
"949",118413.243848386
"950",163346.114574597
"951",111252.179779037
"952",153713.073302881
"953",124652.754488815
"954",171224.765500391
"955",133497.811893155
"956",117905.781278743
"957",134713.428314982
"958",134641.052341012
"959",131426.539570884
"960",120013.010520087
"961",144519.361090973
"962",109227.787718609
"963",109651.885861978
"964",161027.609715995
"965",230192.012340956
"966",124869.452724424
"967",133092.523483068
"968",181427.434110179
"969",109290.115439212
"970",129263.017454868
"971",110219.052801806
"972",149064.962126803
"973",151079.758791054
"974",140682.921942272
"975",157349.63005329
"976",112496.305834853
"977",106047.654488808
"978",121776.970460342
"979",94920.0162439805
"980",123014.218086888
"981",87303.2962078476
"982",96180.3059303901
"983",119783.900731645
"984",134179.904263055
"985",94599.3416663405
"986",133567.117623893
"987",182780.213509165
"988",125524.850114898
"989",120409.398029675
"990",138863.197999902
"991",119526.384732518
"992",183896.559071992
"993",98359.908484136
"994",114769.534704983
"995",108222.678304203
"996",116167.805811148
"997",146172.746664535
"998",129641.03863129
"999",113373.267070919
"1000",142099.905797648
"1001",128829.631861481
"1002",137752.339919663
"1003",121310.933739036
"1004",175433.536582511
"1005",140120.358575788
"1006",117160.494785521
"1007",124623.26870712
"1008",71532.5064853887
"1009",83156.5045290445
"1010",196023.774712945
"1011",230831.660985392
"1012",170587.616877934
"1013",123330.096373058
"1014",189381.413090198
"1015",203465.492131144
"1016",118127.247119105
"1017",125342.51875885
"1018",153296.367950888
"1019",100160.79208235
"1020",146318.319680269
"1021",116674.48993096
"1022",121313.241562388
"1023",107602.970569354
"1024",122609.538393772
"1025",129659.916425795
"1026",155226.527271906
"1027",142655.495196382
"1028",160266.858919902
"1029",149187.462929717
"1030",136499.057285802
"1031",93255.0403024838
"1032",199185.703641107
"1033",143867.119634798
"1034",130000.757585671
"1035",82385.4155933295
"1036",243238.60527142
"1037",150735.541817616
"1038",118903.213653437
"1039",82172.8621695194
"1040",134599.04443049
"1041",131990.355491442
"1042",141369.057871281
"1043",105446.742489978
"1044",187532.037139706
"1045",229294.346470701
"1046",250780.036131783
"1047",292444.21979011
"1048",248617.230259035
"1049",206915.676531106
"1050",215100.465401235
"1051",174903.977155645
"1052",204567.804060718
"1053",224076.306110243
"1054",345800.097875143
"1055",161371.182269246
"1056",171441.370639152
"1057",156238.036660832
"1058",164357.427714581
"1059",234189.754320962
"1060",221421.529448044
"1061",180529.349104086
"1062",221721.175156353
"1063",113660.119545582
"1064",137756.398430834
"1065",155131.439162134
"1066",145695.102643844
"1067",114346.297745975
"1068",131100.348408325
"1069",138635.818989645
"1070",128385.830546383
"1071",250224.443994578
"1072",225341.77439168
"1073",193987.290747868
"1074",221497.683791363
"1075",295029.276667172
"1076",232665.336300285
"1077",234327.952305986
"1078",185147.858102326
"1079",178338.604996581
"1080",180387.250751678
"1081",178210.043370391
"1082",165033.212589335
"1083",117268.120693228
"1084",121627.06985375
"1085",125565.309193891
"1086",120944.419495022
"1087",133654.726418225
"1088",150094.582010625
"1089",155785.199580754
"1090",1349502.93019343
"1091",137366.121502981
"1092",140346.700145696
"1093",68870.3022684854
"1094",83627.9833689058
"1095",106316.468827377
"1096",105786.399220574
"1097",103663.336285708
"1098",144337.49008769
"1099",139293.790520599
"1100",152190.050596196
"1101",148995.363289594
"1102",148541.706899573
"1103",152741.189983343
"1104",220599.69339922
"1105",155539.525332223
"1106",158034.833681753
"1107",152116.738786977
"1108",216285.517611039
"1109",243183.5104927
"1110",115004.793003386
"1111",212227.06493324
"1112",145948.935204634
"1113",211221.859846607
"1114",183562.944716096
"1115",132965.593608047
"1116",119522.745524627
"1117",141027.379584868
"1118",87773.2668667136
"1119",58561.1108194036
"1120",71688.4016294991
"1121",87259.6795996257
"1122",82187.4137073882
"1123",293739.054733101
"1124",159893.298389158
"1125",182830.218884863
"1126",208079.41151428
"1127",196455.153119571
"1128",130289.534801002
"1129",144459.703985091
"1130",200728.106029207
"1131",225314.057306544
"1132",206674.167394859
"1133",248750.768834308
"1134",175952.96766321
"1135",189763.349004845
"1136",288942.585446104
"1137",185532.279959401
"1138",277276.310027372
"1139",364482.292160911
"1140",132048.089431061
"1141",134189.991469195
"1142",80604.5419479445
"1143",97868.2363728747
"1144",85118.8784739015
"1145",76596.4838814177
"1146",138012.651577227
"1147",225411.071869396
"1148",176554.767544254
"1149",176726.474260536
"1150",108049.893256501
"1151",190744.380530436
"1152",167382.598866492
"1153",128683.780049876
"1154",121421.918661729
"1155",149792.783274954
"1156",147488.082249142
"1157",199554.519273411
"1158",158616.893689659
"1159",190545.553737794
"1160",187981.791147547
"1161",174144.024958807
"1162",178625.846248016
"1163",240629.508302096
"1164",291704.238875109
"1165",281493.621588204
"1166",174772.258882409
"1167",168871.444275349
"1168",503473.852498158
"1169",563138.818550846
"1170",374581.3721016
"1171",482860.227690886
"1172",444468.135782776
"1173",325879.040827905
"1174",455114.455581861
"1175",144477.73368093
"1176",175649.971708345
"1177",174045.465242091
"1178",275269.614133188
"1179",185231.035078355
"1180",146944.935422198
"1181",109395.459922586
"1182",181608.615650322
"1183",103596.622451947
"1184",120005.333647661
"1185",111705.665745206
"1186",97309.1132506362
"1187",104434.192358085
"1188",152367.1029384
"1189",154954.656536201
"1190",142084.070986165
"1191",139284.007656169
"1192",404528.568999405
"1193",262872.120579131
"1194",261931.833151798
"1195",456426.65486411
"1196",340664.6137072
"1197",369520.037944838
"1198",323612.980711391
"1199",299821.880688841
"1200",360035.855966332
"1201",366541.895156189
"1202",377318.096601442
"1203",273405.19262048
"1204",279265.546710198
"1205",342776.603611125
"1206",291705.579664703
"1207",172819.814877329
"1208",179614.097121768
"1209",184210.28033383
"1210",277868.559836532
"1211",182026.383370472
"1212",197858.134108029
"1213",201669.753286918
"1214",194177.062906657
"1215",180175.435564471
"1216",190196.746726012
"1217",197504.291812909
"1218",229330.661860728
"1219",265499.497759314
"1220",285183.422303539
"1221",424923.008409033
"1222",320292.731561427
"1223",569673.038042172
"1224",302564.294753738
"1225",319014.038219326
"1226",254855.897248983
"1227",325206.226715815
"1228",211539.637982161
"1229",203480.672495004
"1230",414132.025043641
"1231",195015.755593824
"1232",139496.326151764
"1233",203615.905420073
"1234",134449.850355773
"1235",193138.058009494
"1236",182646.516923278
"1237",195816.376625317
"1238",138822.726248884
"1239",170268.848598619
"1240",150543.18291718
"1241",142486.45803234
"1242",111294.123331407
"1243",112132.883384204
"1244",141167.424244101
"1245",112805.729510274
"1246",104318.454620749
"1247",111753.060780977
"1248",131928.180818428
"1249",100733.593311636
"1250",131052.383939934
"1251",321334.932099753
"1252",390373.191280899
"1253",175751.407663664
"1254",157409.790933235
"1255",163446.912268633
"1256",142760.197561113
"1257",206518.254447997
"1258",226829.895573588
"1259",163581.064288755
"1260",176162.62919407
"1261",132397.258506303
"1262",169791.945656167
"1263",136201.04760661
"1264",123340.061765597
"1265",126082.015663701
"1266",161292.075375015
"1267",178727.042198633
"1268",175684.757883244
"1269",148166.078013003
"1270",149004.068884252
"1271",122645.511275389
"1272",130294.43650806
"1273",165886.48624395
"1274",140901.769486389
"1275",136825.575028776
"1276",139806.701607372
"1277",118289.601146015
"1278",131686.449917277
"1279",146780.209836712
"1280",133942.072512448
"1281",143624.741306528
"1282",148287.231513766
"1283",159886.783571081
"1284",163840.78814353
"1285",138801.696978223
"1286",132420.554193431
"1287",141095.17493032
"1288",120735.193022849
"1289",137423.875152951
"1290",121885.963223828
"1291",138329.086771775
"1292",151704.184546449
"1293",163333.944629818
"1294",269263.79490117
"1295",138216.16876126
"1296",99606.3565722611
"1297",70637.3395031543
"1298",97586.024616036
"1299",168934.34701138
"1300",125831.980650906
"1301",141400.168463906
"1302",137119.679221569
"1303",180344.223944156
"1304",140780.718307969
"1305",250232.656975796
"1306",116896.203723406
"1307",93253.6608932952
"1308",126178.221306391
"1309",134768.919320954
"1310",135275.40474706
"1311",103736.474874755
"1312",110887.709622661
"1313",168412.526898152
"1314",144704.448044209
"1315",118436.930140272
"1316",132611.622102078
"1317",149460.435315393
"1318",107184.943590321
"1319",117070.777067638
"1320",89026.7404869442
"1321",97760.9303729645
"1322",105836.473619821
"1323",106559.885040211
"1324",123844.335363669
"1325",140412.684396481
"1326",69924.5480818874
"1327",120874.67241678
"1328",78113.4162826747
"1329",168141.114707808
"1330",97694.3936738833
"1331",122008.666457359
"1332",71773.9639287003
"1333",125657.408560704
"1334",97673.9847126364
"1335",122333.467302175
"1336",105326.191978689
"1337",213307.747641875
"1338",109480.302821384
"1339",115021.01128985
"1340",67438.1090369686
"1341",101340.34350546
"1342",121443.025302454
"1343",171916.993867884
"1344",131018.634797827
"1345",97322.7389119446
"1346",80537.8400297551
"1347",266602.101189529
"1348",150353.082786114
"1349",129886.33528133
"1350",123696.699430074
"1351",162817.952019009
"1352",176009.322545923
"1353",151621.253723857
"1354",159249.413399262
